Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Meagher County, Montana",0.7465,0.1882,0.5180,2391.913,1932,1927,992,935,53.2,97.7,1.9,2.3,1.5,0.6,2.9,2.4,3.6,33.4,33.4,29.6,1916,862,"45,391"
"Mineral County, Montana",0.6577,0.2331,0.4456,1219.437,3884,4535,2329,2206,52.8,96.6,0.8,5,1.4,0.4,2.8,3.2,7.5,33.8,33.6,25.1,4514,2040,"50,327"
"Missoula County, Montana",0.4611,0.3702,-0.2363,2593.424,95802,117922,58441,59481,37.7,92.8,1.4,5.6,2.3,0.3,4.8,5.1,3.7,20.8,31.3,44.2,114822,50645,"65,682"
"Musselshell County, Montana",0.7168,0.232,0.6977,1868.155,4497,4730,2412,2318,51.3,96,0.6,5.3,0.8,0.2,1.8,3.1,8.6,35,35.5,20.9,4691,2070,"54,003"
"Park County, Montana",0.6107,0.2908,0.0641,2803.063,15694,17191,8672,8519,46.9,97.5,0.8,3.3,1,0.1,3,3,3.4,27.1,36.2,33.3,17024,7997,"59,113"
"Petroleum County, Montana",0.8301,0.1176,0.7379,1654.871,493,496,260,236,53.4,98.6,1,2.4,1.2,2,1.2,1,0.6,41.3,29.8,28.3,496,228,"48,141"
"Phillips County, Montana",0.7751,0.1899,0.6370,5140.035,4601,4217,2116,2101,44.7,90,0.5,12.2,0.9,0.3,3.5,2.7,7.4,35.1,38.4,19,4060,1770,"53,626"
"Pondera County, Montana",0.6727,0.2735,0.3766,1622.863,6424,5898,2938,2960,42.1,83.5,0.6,18.1,0.7,0.4,1.3,1.6,8.7,29.2,39.4,22.7,5705,2254,"47,900"
"Powder River County, Montana",0.8532,0.1141,0.7183,3297.298,1858,1694,840,854,50.8,96.8,0.8,5,0.2,0.2,3,2.1,6.2,32.2,36.6,25,1671,749,"52,298"
"Powell County, Montana",0.696,0.2253,0.5017,2326.392,7180,6946,4321,2625,45.9,92.4,1.8,8.3,0.7,0.1,1.8,2.3,9.8,42.3,29.1,18.8,5292,2374,"47,687"
"Prairie County, Montana",0.7252,0.2198,0.6411,1736.737,1199,1088,576,512,52.8,97.2,0.7,4.7,2.1,0.3,2.3,3,13,28.8,32.5,25.7,1075,498,"46,328"
"Ravalli County, Montana",0.6521,0.2582,0.3631,2390.821,36070,44174,21834,22340,50.2,97,0.6,3.3,1.2,0.2,3.7,3.6,7.4,29.8,34.4,28.4,43715,18750,"60,030"
"Richland County, Montana",0.7087,0.2524,0.6770,2084.143,9667,11491,5894,5597,38.4,94.8,1.1,4.9,1.5,0.1,4.6,5.3,4.6,38.8,40.3,16.2,11425,4827,"63,148"
"Roosevelt County, Montana",0.4209,0.54,0.0214,2354.793,10620,10794,5383,5411,33.2,40.4,0.7,63.9,1.1,0.1,1.3,2.2,9.6,32.4,38.5,19.4,10524,3610,"47,266"
"Rosebud County, Montana",0.5335,0.4072,0.3401,5010.402,9383,8329,4207,4122,39.3,62.7,0.8,39.1,0.9,0.3,1.9,2.8,10.5,32.9,37.2,19.3,8254,3145,"61,331"
"Sanders County, Montana",0.666,0.2468,0.5018,2760.524,10227,12400,6309,6091,55.2,94.2,0.6,7.4,1,0.3,3.6,2.8,9,39.1,32.9,19,12220,5533,"50,270"
"Sheridan County, Montana",0.5985,0.3573,0.4084,1677.08,4105,3539,1842,1697,46,96.6,0.8,5.3,0.8,0.3,2.9,3,7.4,35,31.9,25.7,3475,1631,"56,095"
"Silver Bow County, Montana",0.3771,0.5368,-0.1406,718.477,34606,35133,17828,17305,41.8,96.2,0.8,4.2,1.1,0.2,3.5,4.7,6.2,34.5,31.3,28,34113,15450,"52,495"
"Stillwater County, Montana",0.7057,0.2361,0.5759,1795.35,8195,8963,4564,4399,48.6,97.5,0.5,3.1,0.8,0.2,4.1,3,7.3,32,32.7,28,8853,3777,"75,820"
"Sweet Grass County, Montana",0.7855,0.1652,0.5278,1855.205,3609,3678,1868,1810,48.4,97.7,0.6,3.2,1.1,0.5,3.8,2.7,3.9,32.5,41.4,22.1,3646,1594,"61,454"
"Teton County, Montana",0.6922,0.2556,0.4333,2272.375,6445,6226,3104,3122,45.1,96.9,0.9,4.9,0.7,0.3,2.3,1.4,7.5,34.4,32.9,25.2,5965,2490,"59,787"
"Toole County, Montana",0.6892,0.2649,0.5318,1915.647,5267,4971,2862,2109,41,90.6,1,9.6,1.2,0.2,2.5,3.6,10.5,35.3,28,26.1,3987,1748,"49,297"
"Treasure County, Montana",0.7182,0.2213,0.6413,977.398,861,762,393,369,45,95,2,4.6,1.4,0.8,2.2,4.1,8.9,33.5,28.2,29.3,762,349,"58,275"
"Valley County, Montana",0.6308,0.3212,0.4927,4925.819,7675,7578,3881,3697,44.1,89.1,0.8,12.6,0.7,0.3,2.4,2.3,7,33.3,40.7,19.1,7423,3221,"55,338"
"Wheatland County, Montana",0.7087,0.2432,0.5599,1423.195,2259,2069,1047,1022,47.2,98,0.9,4.3,0.6,0.6,3.8,3.3,9.5,39.3,33.4,17.8,1671,799,"42,431"
"Wibaux County, Montana",0.7124,0.2336,0.7341,889.265,1068,937,472,465,47.8,97.1,1.1,1.9,1.8,0.2,4.2,2.9,7.4,38.9,29.6,24.2,910,405,"51,924"
"Yellowstone County, Montana",0.59,0.3543,0.2397,2633.294,129352,164731,80862,83869,38.8,91.9,1.8,7.3,1.6,0.4,4.6,6.1,5,28,33.3,33.7,160791,67578,"69,182"
"Adams County, Nebraska",0.6562,0.2963,0.4007,563.272,31151,31205,15392,15813,38.1,92,1.7,2.1,1.9,0.2,9.2,11.7,8.4,27.2,38.6,25.8,30241,12690,"57,136"
"Antelope County, Nebraska",0.7607,0.2013,0.7371,857.218,7452,6295,3201,3094,43.7,97.2,0.9,1.2,0.7,0,3.3,3.5,7.7,35.7,38.2,18.4,6239,2670,"57,413"
"Arthur County, Nebraska",0.864,0.0956,0.8386,715.355,444,434,212,222,41.5,98.2,1.2,5.1,1.2,1.2,2.3,2.8,4.4,24.1,43.4,28.1,434,174,"58,677"
"Banner County, Nebraska",0.8442,0.1407,0.7762,746.114,819,674,348,326,46,96.6,0.3,2.7,1,0.4,5.8,7.6,7.2,17.9,47.5,27.3,674,267,"59,863"
"Blaine County, Nebraska",0.8567,0.1232,0.7729,710.874,583,431,228,203,49.2,96.5,1.4,4.4,1.6,0.5,2.1,2.6,8,36.3,32.9,22.8,431,199,"53,541"
