Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Autauga County, Alabama",0.6969,0.2872,0.4442,594.436,43671,58805,28390,30415,38.9,76.7,20.9,2.4,2.3,0.2,3.2,3.6,10.4,32.8,28.7,28.1,58318,22412,"66,444"
"Baldwin County, Alabama",0.7237,0.2478,0.5376,1589.784,140415,231767,112627,119140,44,88,9,3,1.5,0.2,5.1,5.5,9,27.4,31.2,32.5,228215,93116,"65,658"
"Barbour County, Alabama",0.4991,0.4902,0.0766,884.876,29038,25223,13167,12056,42.9,47.3,48.6,1.4,0.6,0.1,4.9,6,24.3,36.7,27.8,11.2,22506,9677,"38,649"
"Bibb County, Alabama",0.6017,0.3816,0.5773,622.582,20826,22293,11798,10495,40.5,77.5,20.8,1.9,0.3,0.1,3.1,3.3,19.5,43.9,24.7,11.9,20153,7927,"48,454"
"Blount County, Alabama",0.7048,0.2769,0.8000,644.776,51024,59134,29197,29937,41.1,91.7,2.1,3.1,0.6,0.1,8.8,9.8,16.4,35.1,33.6,14.9,58521,22367,"56,894"
"Bullock County, Alabama",0.2922,0.6923,-0.4986,622.805,11714,10357,5628,4729,42,24.4,72.3,1.3,0.3,0.2,4.2,4.9,22.4,41.3,24.6,11.7,8653,3928,"32,027"
"Butler County, Alabama",0.5289,0.4621,0.1574,776.829,21399,19051,8971,10080,43.5,53.9,45.9,1.2,1,0.2,1.2,1.4,14.4,45.2,26.3,14,18770,8170,"39,442"
"Calhoun County, Alabama",0.5733,0.4056,0.3900,605.868,112249,116441,55787,60654,40,74,23.6,2.4,1.5,0.2,3.8,4.3,14.8,34.6,31.1,19.5,110821,46437,"48,166"
"Chambers County, Alabama",0.5101,0.4746,0.1562,596.531,36583,34772,16902,17870,43.3,57.4,40.3,1.5,1.4,0.1,3.1,3.6,17.2,36.2,32.9,13.7,33898,14238,"45,447"
"Cherokee County, Alabama",0.531,0.447,0.7283,553.7,23988,24971,12327,12644,47.7,94.4,4.9,2.4,0.4,0.1,1.6,1.6,20.2,36.9,30.1,12.8,24678,10411,"46,365"
"Chilton County, Alabama",0.667,0.3184,0.6738,692.854,39593,45014,22000,23014,40.1,83.2,10.1,2.3,0.6,0.1,8.4,9.8,18.2,42.9,25.3,13.5,44632,17302,"55,142"
"Choctaw County, Alabama",0.4882,0.5027,0.1566,913.5,15922,12665,6113,6552,47.6,57.5,42.3,1.1,0.4,0,0.8,0.9,19.4,37.5,31.4,11.7,12599,5675,"40,601"
"Clarke County, Alabama",0.5569,0.4352,0.1195,1238.465,27867,23087,10933,12154,44.3,54.2,45.5,1.3,0.6,0.1,0.9,0.9,17.8,41.4,26.9,13.9,22700,9662,"45,447"
"Clay County, Alabama",0.6322,0.3476,0.6254,603.961,14254,14236,7048,7188,45.2,83.8,15.5,2.1,0.6,0.1,2.7,3.2,17,38.2,31.4,13.4,13983,5926,"47,036"
"Cleburne County, Alabama",0.6546,0.3268,0.8038,560.1,14123,15056,7454,7602,43.3,95.5,3.7,2.8,0.4,0.1,1.7,1.9,16.9,37.5,29.2,16.4,14865,6054,"49,769"
"Coffee County, Alabama",0.6439,0.3382,0.5308,678.972,43615,53465,26377,27088,39,76.4,18.4,3.8,2.7,0.3,6.5,9.1,13.6,28,35.7,22.7,52708,21263,"55,052"
"Colbert County, Alabama",0.4885,0.4896,0.3894,592.619,54984,57227,27423,29804,42.6,80.7,17.7,2.6,1,0.1,2.9,3,13.2,37.7,31.2,17.9,56826,24425,"53,341"
"Conecuh County, Alabama",0.4862,0.5014,0.0739,850.156,14089,11597,5577,6020,46.8,53.7,45.1,2.1,0.6,0.2,1.8,2.2,12.4,48.5,26.6,12.5,11472,5066,"35,621"
"Coosa County, Alabama",0.5216,0.4607,0.3349,650.926,12202,10387,5226,5161,48.9,68.7,30.5,2,0.2,0.1,2.5,1.9,14.9,41.8,32.1,11.2,10081,4451,"45,954"
"Covington County, Alabama",0.6583,0.3262,0.6807,1030.456,37631,37570,18160,19410,44.2,85.8,13.5,2.1,0.9,0.1,1.6,1.7,14.8,38,31.4,15.8,36796,15515,"44,188"
"Crenshaw County, Alabama",0.5825,0.4033,0.4782,608.84,13665,13194,6326,6868,44.3,74.5,25.5,1.6,0.9,0.1,1.4,1.4,18.8,41.8,23,16.4,13035,5680,"38,037"
"Cullman County, Alabama",0.6488,0.3305,0.7742,734.841,77483,87866,43273,44593,41.3,95.3,1.6,3.2,0.9,0.2,4.4,4.7,15.8,32.4,35.3,16.5,86594,34723,"55,036"
"Dale County, Alabama",0.6702,0.3104,0.4627,561.15,49129,49326,24216,25110,38.5,74.2,22.8,2.8,2.2,0.3,5.2,6.6,15.2,30.9,35.3,18.7,48544,20159,"50,086"
"Dallas County, Alabama",0.3986,0.594,-0.3754,978.695,46365,38462,17939,20523,42.3,28.8,71.5,0.8,0.4,0.1,0.6,0.8,14.1,38.2,31.6,16.1,37981,16037,"33,159"
"DeKalb County, Alabama",0.6323,0.3478,0.6978,777.093,64452,71608,35344,36264,39.7,85,2.2,6.5,0.6,0.1,12.4,16.4,21.8,33.5,30.3,14.4,70767,27145,"45,062"
"Elmore County, Alabama",0.7048,0.2794,0.4825,618.485,65874,87977,44351,43626,40.7,76.3,21.9,2.3,1.3,0.1,3.1,3.2,12.4,32.1,31,24.6,82166,32567,"63,147"
"Escambia County, Alabama",0.5982,0.3879,0.3740,945.08,38440,36757,18254,18503,41.8,64.5,31.5,6.3,0.5,0.1,1.6,2,18.3,43.7,25.4,12.5,34702,14499,"40,506"
"Etowah County, Alabama",0.5359,0.443,0.5020,534.991,103459,103436,50043,53393,42.4,80.8,16.2,3,1.2,0.1,4,4.7,13.8,33.8,34.4,18,101808,41974,"46,308"
"Fayette County, Alabama",0.5868,0.3924,0.6736,627.66,18495,16321,7977,8344,44.3,87.5,12,2.1,0.5,0.1,1.9,2.4,17,41,30.2,11.8,16002,6653,"46,122"
"Franklin County, Alabama",0.5511,0.4317,0.6591,633.821,31223,32113,15868,16245,38.3,80.3,4.6,3.9,0.4,0.1,15.9,19.5,20.5,42.2,23,14.3,31696,12142,"45,440"
"Geneva County, Alabama",0.6892,0.2897,0.7376,574.408,25764,26659,13086,13573,43.8,88.2,10.2,3.3,0.6,0.2,3.7,4.9,17.5,36.6,32.4,13.5,26375,10874,"43,206"
"Greene County, Alabama",0.1934,0.7971,-0.6302,647.11,9974,7730,3645,4085,44.6,18.3,82.2,0.6,0.3,0.1,0.5,0.8,15.6,39.3,32.5,12.7,7658,3388,"30,225"
"Hale County, Alabama",0.386,0.6017,-0.1890,643.943,17185,14785,6980,7805,42.1,42.1,57.7,0.9,0.4,0.3,0.9,1,18.7,39.1,26.4,15.8,14608,6138,"41,995"
"Henry County, Alabama",0.5848,0.4013,0.4303,561.75,16310,17146,8292,8854,46.4,73.1,25.9,1.9,0.9,0.1,2.3,1.9,18.7,32.2,27.5,21.6,17005,7169,"56,389"
"Houston County, Alabama",0.691,0.2936,0.4267,579.824,88787,107202,51144,56058,40.8,69.4,28.2,2.4,1.8,0.2,3.6,4.2,12.2,32.1,33.4,22.2,106387,44368,"48,701"
"Jackson County, Alabama",0.4733,0.5063,0.6749,1077.868,53926,52579,25637,26942,44.5,93.1,4.1,6,0.7,0.1,3,3.2,17.6,38.3,28.1,16.1,51971,21733,"46,998"
"Jefferson County, Alabama",0.5059,0.4745,-0.1315,1111.276,662047,674721,317832,356889,38.3,52.7,42.9,1.7,2.4,0.1,4.7,5.2,9,26.4,29.9,34.7,657707,274699,"55,210"
"Lamar County, Alabama",0.6166,0.366,0.7224,604.846,15904,13972,6868,7104,45.3,88.5,11.6,1.2,0.2,0.1,1.6,1.5,17.5,41.7,30.8,10,13828,5958,"44,265"
"Lauderdale County, Alabama",0.5439,0.4317,0.4467,667.697,87966,93564,44910,48654,41.2,87,11.2,2.5,1.2,0.1,3,3.3,11.3,35.1,28.1,25.5,90532,39544,"52,222"
"Lawrence County, Alabama",0.4654,0.5167,0.5464,690.678,34803,33073,16192,16881,43.4,83.9,11.1,10.9,0.6,0.1,2.6,2.7,16.8,41.3,26.6,15.3,32846,13517,"55,555"
"Lee County, Alabama",0.5863,0.3809,0.2010,607.536,115092,174241,85241,89000,31.4,69,24.1,2.1,5.8,0.2,4.5,5.2,8.6,22.1,30.7,38.6,168868,68728,"54,188"
"Limestone County, Alabama",0.601,0.3805,0.4259,559.936,65676,103570,51751,51819,39.9,80.5,14.4,3,2.6,0.2,6.1,7,13.5,27.3,30.8,28.4,100470,39365,"69,207"
"Lowndes County, Alabama",0.2624,0.7299,-0.4588,715.911,13473,10311,4969,5342,45.8,28.9,71.1,0.8,0.4,0.1,0.9,1.4,15.3,43.1,26.5,15.1,10123,4272,"36,993"
"Macon County, Alabama",0.1235,0.868,-0.6382,608.885,24105,19532,8836,10696,39.6,18.5,80.9,1.4,0.5,0.2,1.6,1.8,16.5,30,32.3,21.2,17464,7965,"35,354"
"Madison County, Alabama",0.5485,0.4253,0.0796,801.593,276700,388153,189341,198812,38.3,69.4,25.7,3.3,3.9,0.3,5.5,6.4,8,19.2,28.5,44.3,378389,157770,"78,386"
"Marengo County, Alabama",0.4881,0.5039,-0.0133,976.882,22539,19323,9102,10221,43.6,45.4,53.8,0.9,0.4,0.1,1.8,1.9,13.4,35.7,31.2,19.7,19096,8226,"42,048"
"Marion County, Alabama",0.5878,0.3913,0.7780,742.292,31214,29341,14507,14834,43.8,94,5,2.5,0.5,0.1,2.6,2.9,18.7,35.6,33.1,12.6,28580,12228,"44,636"
"Marshall County, Alabama",0.6104,0.3709,0.6871,565.842,82231,97612,47900,49712,39.2,85.2,3.4,4,1,0.2,13.2,16,16.5,31.2,31,21.4,96620,37257,"50,858"
"Mobile County, Alabama",0.5593,0.4196,0.1188,1229.435,399843,414809,197788,217021,38.6,59.7,36.8,2.9,2.6,0.1,3.1,3.2,12.1,34.2,29.7,23.9,407064,163750,"49,848"
"Monroe County, Alabama",0.5757,0.4179,0.1586,1025.675,24324,19772,9505,10267,44.1,55.6,43.2,3,0.7,0.1,0.9,1,17.6,44.7,24.8,12.9,19569,8337,"40,997"
"Montgomery County, Alabama",0.4834,0.5026,-0.3149,784.247,223510,228954,107930,121024,38.1,35.8,58.5,1.3,4.1,0.1,4,4.7,12.3,25.8,28.5,33.4,220555,93223,"50,645"
"Morgan County, Alabama",0.6039,0.3763,0.4920,579.337,111064,123421,60608,62813,40.9,79.2,13.9,3.4,1.2,0.1,9.1,10,15.3,31.2,30.8,22.8,121147,49241,"56,340"
"Perry County, Alabama",0.2993,0.6947,-0.4820,719.664,11861,8511,4051,4460,41.5,29.4,71.1,0.7,0.5,0.1,0.7,1,21.4,40.1,19.6,18.9,7979,3360,"31,522"
"Pickens County, Alabama",0.5042,0.4851,0.1626,881.408,20949,19123,8567,10556,43.5,58.5,40.4,1.2,0.6,0,2.1,5.5,16.7,42.3,27.6,13.3,17353,7437,"43,926"
"Pike County, Alabama",0.5745,0.4132,0.1738,672.094,29605,33009,15387,17622,34.8,59.1,38.5,2.2,2.3,0.2,2.2,2.7,12.7,36.3,23.3,27.8,30865,13901,"38,945"
"Randolph County, Alabama",0.5892,0.3907,0.5865,580.55,22380,21967,10639,11328,44.4,79.9,18.7,2.1,0.6,0.1,2.8,2.8,19.7,34.4,29.6,16.2,21551,8931,"45,889"
"Russell County, Alabama",0.4195,0.5683,-0.0640,641.14,49756,59183,28287,30896,37.3,51.5,46.8,2.1,1.4,0.4,4,5.4,14.7,29.5,38.5,17.3,58626,23997,"44,849"
"St. Clair County, Alabama",0.7105,0.2692,0.6395,631.902,64742,91103,45128,45975,40.7,88.1,10.5,2.8,1.1,0.1,2.7,2.8,14,35.2,32.4,18.5,89010,34376,"63,015"
"Shelby County, Alabama",0.767,0.2122,0.4039,784.93,143293,223024,107510,115514,39.2,79.9,14.1,2.5,3,0.1,6.8,7.4,6.4,19.8,29,44.8,219776,84241,"85,457"
"Sumter County, Alabama",0.2676,0.7252,-0.4848,903.887,14798,12345,5672,6673,39.3,25.5,73.9,0.7,1.1,0.3,0.6,1.1,12.7,33.5,34.3,19.5,11280,5020,"29,490"
"Talladega County, Alabama",0.5425,0.4426,0.2551,736.775,80321,82149,39888,42261,42.2,65.6,33.6,1.8,0.7,0.1,2,2.2,17.1,34.6,32.4,15.9,78915,33090,"47,331"
"Tallapoosa County, Alabama",0.6033,0.3804,0.4337,716.521,41475,41311,20076,21235,46.4,72.1,26.3,1.8,0.7,0,2.6,2.8,18.4,31.6,31.9,18.1,40625,17376,"47,444"
"Tuscaloosa County, Alabama",0.5656,0.4095,0.1481,1321.755,164875,227036,108721,118315,32.9,64.6,31.6,1.8,1.9,0.1,4.9,5.4,10.4,29.8,29.2,30.6,215921,89962,"56,274"
"Walker County, Alabama",0.526,0.4532,0.6791,791.192,70713,65342,31939,33403,43.4,91.3,7,2.6,0.7,0.1,2.7,3.3,17.7,34.6,33.6,14.1,64276,26423,"46,343"
"Washington County, Alabama",0.542,0.4458,0.4851,1080.207,18097,15388,7555,7833,44.4,70.3,22.8,9.6,0.3,0.2,0.9,0.9,13.8,42.5,30.1,13.6,15268,6321,"49,795"
"Wilcox County, Alabama",0.324,0.6719,-0.3752,888.498,13183,10600,5132,5468,43.8,28.5,71.7,0.7,0.2,0.1,0.9,1.1,20.8,39.2,29,11,10369,4316,"30,071"
"Winston County, Alabama",0.6882,0.2889,0.8172,612.979,24843,23540,11532,12008,45.6,96.9,1.1,2.8,0.4,0.1,3.3,3.5,20.7,38.7,27.1,13.5,23179,9845,"47,176"
"Apache County, Arizona",0.306,0.6703,-0.3368,11197.521,69423,66021,32801,33220,38.3,25.6,0.7,73,0.7,0.2,3.7,5.8,17.8,31,38.3,12.8,64814,22103,"41,002"
"Cochise County, Arizona",0.5475,0.4024,0.1955,6165.69,117755,125447,62952,62495,44,81.7,5.5,3.6,3.6,0.8,23,34,11.3,24.4,38.5,25.8,120344,50936,"55,748"
"Coconino County, Arizona",0.4296,0.496,-0.2406,18618.885,116320,145101,71177,73924,32.5,65.8,2.4,27.5,3.1,0.5,10.3,15,9,21.3,30.9,38.7,133091,51320,"63,829"
"Gila County, Arizona",0.5164,0.4341,0.3408,4757.933,51335,53272,26527,26745,51.7,75.7,1.1,18.9,1.4,0.3,11.7,17.4,13.1,28.5,39.7,18.8,52427,22312,"52,665"
"Graham County, Arizona",0.6216,0.3472,0.4478,4622.597,33489,38533,20281,18252,33.8,75.3,2.1,15.7,1,0.3,16.8,29.7,16.6,29.6,39.1,14.7,35860,12150,"52,644"
"Greenlee County, Arizona",0.547,0.4108,0.3392,1843.126,8547,9563,5003,4560,34.2,84.8,2,6.4,1.4,0.5,22.6,45.8,12.3,32.6,39.1,16,9531,3634,"71,669"
"La Paz County, Arizona",0.5673,0.3946,0.3878,4499.629,19715,16557,8413,8144,54.6,70.7,1.4,21,1.3,0.6,18.3,25.3,16,34,38.2,11.8,16381,7370,"44,330"
"Maricopa County, Arizona",0.5334,0.4297,-0.0218,9200.143,3072149,4420568,2177308,2243260,37.2,72.7,7.6,4,6.1,0.5,23.4,30.6,11.2,22,32.5,34.4,4350538,1643579,"76,230"
"Mohave County, Arizona",0.5525,0.3958,0.5129,13311.084,155032,213267,107924,105343,53.8,88.8,1.8,5,2.2,0.5,11.8,16,12.6,34.3,38.5,14.6,208927,91270,"48,169"
"Navajo County, Arizona",0.4925,0.469,0.0825,9950.422,97470,106717,53197,53520,39.4,50.8,1.3,46.9,0.9,0.3,6.1,10.2,15.5,29.5,38.4,16.7,104677,36836,"49,057"
"Pima County, Arizona",0.4331,0.5134,-0.1867,9187.036,843746,1043433,512753,530680,41.2,76.7,5.3,5.4,4.4,0.4,25.4,35.7,10.6,21.4,33.6,34.4,1015933,427021,"60,604"
"Pinal County, Arizona",0.4873,0.4759,0.1728,5365.612,179727,425264,218012,207252,40.4,75.4,6.7,7.1,2.8,0.8,20.9,28.6,12.4,30.4,36.2,20.9,402494,146663,"70,835"
"Santa Cruz County, Arizona",0.376,0.5884,-0.3550,1236.916,38381,47669,22554,25115,40.2,68.7,0.7,1.9,1,0.1,63.9,83.1,22.3,26.1,28.6,23,47509,16670,"49,216"
"Yavapai County, Arizona",0.5896,0.3534,0.2926,8123.499,167517,236209,115949,120260,55.5,90.7,1.3,4.2,2,0.4,11.3,14.6,8.4,25.2,38.6,27.8,232174,104425,"57,676"
"Yuma County, Arizona",0.5482,0.4207,0.0618,5513.992,160026,203881,102492,101389,37.1,69.2,2.8,3.2,2,0.3,48.5,63.8,25.1,26.6,32.6,15.7,196533,69589,"55,991"
"Arkansas County, Arkansas",0.5262,0.4515,0.3951,988.77,20749,17149,8327,8822,43.2,72.2,25.8,2.3,0.9,0.2,3.5,3.7,13.3,41.9,28.2,16.6,16824,7293,"50,928"
"Ashley County, Arkansas",0.4686,0.5142,0.4319,925.349,24209,19062,9161,9901,43.7,71.4,25.7,1.8,0.3,0.1,4.7,5.8,14.8,50.9,22.3,12,18909,8019,"44,030"
"Baxter County, Arkansas",0.5709,0.39,0.5332,554.283,38386,41627,20315,21312,52.7,97.7,0.7,3.7,0.9,0.1,2.4,2.5,11.3,34.7,35.3,18.6,41105,18936,"45,116"
"Benton County, Arkansas",0.6494,0.3221,0.2645,847.357,153406,284333,140435,143898,35.3,81.5,2.7,5.9,5.8,1.1,14.7,17.8,10.3,29.4,25.8,34.6,281319,104111,"78,974"
"Boone County, Arkansas",0.6285,0.3295,0.6187,590.231,33948,37373,18307,19066,43,97.5,0.7,4.6,1.1,0.1,2.5,2.6,10.9,33.8,37.5,17.8,36929,15455,"48,700"
"Bradley County, Arkansas",0.4506,0.5333,0.3068,649.231,12600,10545,5134,5411,40.6,59.8,29.3,1.8,0.5,0.1,13,14.9,15.9,42.9,28.7,12.5,10331,4277,"40,454"
"Calhoun County, Arkansas",0.5162,0.4654,0.5302,628.581,5744,4739,2351,2388,44.6,78.7,20.6,2.2,0.5,0.2,2.2,2.7,15.8,43.3,28.6,12.2,4576,2019,"49,977"
"Carroll County, Arkansas",0.5794,0.3749,0.2883,630.087,25357,28260,13962,14298,44.8,85.8,0.9,4.7,2.4,1.7,13.2,15.2,14.8,35.2,28,22,28022,11727,"49,225"
"Chicot County, Arkansas",0.3513,0.6334,-0.1238,644.304,14117,10208,5202,5006,44.5,41.4,54.3,1.7,0.6,0.2,5.3,5.7,21.6,38.3,25.3,14.8,9529,4142,"34,857"
"Clark County, Arkansas",0.4377,0.5403,0.1403,866.074,23546,21446,10118,11328,35.4,71.7,25.6,2.5,1.1,0.2,4.5,5.1,9.5,32,30.6,27.9,18589,8170,"47,158"
"Clay County, Arkansas",0.382,0.5978,0.6027,639.465,17609,14552,7047,7505,43.9,98.5,1.1,2.4,0.4,0.1,2.1,2.2,15.7,42.8,27.5,14,14389,6176,"41,419"
"Cleburne County, Arkansas",0.5614,0.4036,0.6577,553.692,24046,24711,12166,12545,50.5,97.7,0.8,3.2,0.7,0.1,2.6,2.6,11.8,42.4,28.9,17,24451,10819,"50,200"
"Cleveland County, Arkansas",0.5275,0.4445,0.6156,597.783,8571,7550,3698,3852,44.8,89,10.1,1.9,0.5,0.1,2.5,2.4,9.3,46.7,27.3,16.7,7481,3101,"53,705"
"Columbia County, Arkansas",0.5392,0.4301,0.3117,766.053,25603,22801,10846,11955,37.3,62,35.8,1.8,1,0.1,3.3,3.4,13,39.8,27.1,20.2,20768,9082,"44,651"
"Conway County, Arkansas",0.49,0.4833,0.3545,552.25,20336,20715,10135,10580,42.1,85.7,12.4,4.4,0.7,0.3,3.8,4.3,11.9,41,28.5,18.7,20545,8387,"47,741"
"Craighead County, Arkansas",0.4833,0.492,0.3541,707.206,82148,111231,53825,57406,33.5,78.1,18.4,2.3,1.9,0.1,5.2,6,10.3,32.8,27.9,28.9,107311,43221,"52,490"
"Crawford County, Arkansas",0.613,0.3568,0.5665,593.094,53247,60133,29431,30702,39.9,90.3,2.7,8.2,2.3,0.2,6.6,7.6,15.1,34.1,31.7,19.1,59443,22986,"54,065"
"Crittenden County, Arkansas",0.4426,0.5459,-0.0722,609.76,50866,48163,22648,25515,37.7,43.3,55.4,1.6,0.9,0.1,2.6,3,15.5,35.4,31.6,17.5,47655,18885,"43,821"
"Cross County, Arkansas",0.488,0.4981,0.4572,616.381,19526,16833,8113,8720,41,76.2,23.1,2.1,0.8,0.1,1.8,2.1,18.2,41.8,26,14.1,16696,6711,"45,262"
"Dallas County, Arkansas",0.4725,0.5143,0.2303,667.386,9210,6482,3143,3339,45.5,57.5,42,1.9,0.5,0.2,2.7,3.1,12.3,45.2,31,11.5,6248,2770,"42,442"
"Desha County, Arkansas",0.3566,0.6176,-0.0228,768.152,15341,11395,5402,5993,40.7,46.6,49.3,2.1,0.8,0.2,6.1,6.8,19.1,44.2,23,13.7,11354,4891,"39,042"
"Drew County, Arkansas",0.4654,0.5167,0.2784,828.356,18723,17350,8391,8959,38.4,68.4,29.4,1.9,0.9,0.2,3.2,3.8,13,36.6,26.6,23.7,16733,7133,"46,572"
"Faulkner County, Arkansas",0.5495,0.409,0.2953,647.884,86014,123498,60122,63376,34.5,83.5,13.6,3.7,1.8,0.1,5.1,5.5,6.9,30.1,30.1,32.9,118748,47622,"57,573"
"Franklin County, Arkansas",0.5337,0.4355,0.6140,608.857,17771,17097,8522,8575,41.7,96,1,5.1,1.3,0.2,3,2.9,13.5,41.6,34.3,10.6,16817,6706,"47,834"
"Fulton County, Arkansas",0.4956,0.481,0.5716,618.194,11642,12075,5961,6114,47.9,98.2,0.7,3.9,0.8,0.1,1.7,1.3,14.1,37.2,37.3,11.4,11912,4991,"41,557"
"Garland County, Arkansas",0.5315,0.4408,0.3399,677.781,88068,100180,48471,51709,45.6,86.3,10.1,4.2,1.5,0.2,6.2,7,9.6,31.8,34.8,23.8,98549,42997,"48,053"
"Grant County, Arkansas",0.5463,0.4216,0.6739,631.809,16464,17958,8904,9054,41.4,95.5,3.1,3.1,0.7,0.1,2.5,2.5,8.4,42.6,31,18,17806,7091,"67,088"
"Greene County, Arkansas",0.4671,0.5062,0.5970,577.699,37331,45736,22529,23207,38.4,95,2.8,2.9,0.7,0.7,3.4,3.5,11.3,44.3,28,16.3,44897,17673,"53,920"
"Hempstead County, Arkansas",0.4468,0.5401,0.3405,727.52,23587,20065,9679,10386,40.3,61.1,29.9,2.6,0.8,0.1,12.5,14.7,16.2,38.4,29.4,16,19771,7992,"41,281"
"Hot Spring County, Arkansas",0.4592,0.5033,0.4874,615.202,30353,33040,17335,15705,42.1,86.3,12.3,3.6,0.7,0.2,3.6,3.8,11.4,39.1,33,16.4,30693,12473,"51,662"
"Howard County, Arkansas",0.5216,0.4627,0.4193,588.554,14300,12785,6218,6567,40.6,69.4,22.2,3.3,0.8,0.2,10.5,11.9,11.9,41.8,32,14.3,12615,5096,"42,733"
"Independence County, Arkansas",0.53,0.4439,0.5819,763.953,34233,37938,18711,19227,38.8,90.8,3.3,3.4,1.4,0.2,7.6,8.6,14.2,37,32.3,16.5,37081,14934,"48,957"
"Izard County, Arkansas",0.4573,0.5141,0.6213,580.577,13249,13577,7136,6441,48.1,96.1,2.6,4.2,0.5,0.1,2.4,2.4,17.9,33.2,31.8,17,12452,5494,"40,788"
"Jackson County, Arkansas",0.3755,0.6013,0.4376,633.938,18418,16755,8137,8618,40.8,80.9,18.2,2.2,0.6,0.1,2.5,2.8,16.5,43.1,27.7,12.7,14411,6203,"37,815"
"Jefferson County, Arkansas",0.3222,0.6513,-0.2170,870.746,84278,67260,33400,33860,40.7,40.5,57.6,1.5,1.3,0.2,2.1,2.2,11.6,41.4,27.5,19.5,61659,26264,"46,100"
"Johnson County, Arkansas",0.5107,0.4566,0.4901,659.804,22781,25749,12806,12943,38.7,85.5,2.8,4.4,3.9,0.2,11.1,13.4,19.9,40.9,23.2,16,25300,9902,"43,003"
"Lafayette County, Arkansas",0.4546,0.5338,0.3427,528.268,8559,6308,3097,3211,46.9,65.3,33.8,1.9,0.8,0.2,1.8,2.3,18.9,45.9,24.5,10.7,6226,2842,"38,777"
"Lawrence County, Arkansas",0.4348,0.5389,0.5957,587.614,17774,16216,8087,8129,41,97.3,1.7,3,0.4,0.1,2.3,2.2,15.2,38.9,31,14.9,15615,6514,"44,661"
"Lee County, Arkansas",0.3278,0.6617,-0.0481,602.621,12580,8600,4811,3789,42.6,43.4,56.1,1.9,0.3,0.3,2,2.5,18.3,45.6,26.4,9.8,6967,3103,"29,714"
"Lincoln County, Arkansas",0.4303,0.5519,0.4379,561.517,14492,12941,8098,4843,40.4,68,29.5,1.8,0.5,0.2,4.2,4.8,18.8,48.2,24.3,8.7,9242,3807,"45,435"
"Little River County, Arkansas",0.4338,0.5478,0.4808,532.253,13628,12026,5917,6109,44.6,78.6,19.7,5.2,0.5,0.1,2.8,3.4,10.1,43.6,31.4,14.9,11835,5098,"46,619"
"Logan County, Arkansas",0.5542,0.4055,0.5954,708.125,22486,21131,10423,10708,43.8,95,1.9,4.3,1.9,0.1,2.9,3,12.3,44.4,30.7,12.6,20756,8449,"45,558"
"Lonoke County, Arkansas",0.5911,0.3818,0.5283,770.728,52828,74015,36353,37662,37.4,90.3,7.3,3.6,1.9,0.2,4.3,4.9,10.1,37.8,31.9,20.3,73267,27841,"64,633"
"Madison County, Arkansas",0.6018,0.3651,0.5571,834.255,14243,16521,8278,8243,42.8,93.2,0.7,5.4,1,1.6,5.4,5.4,15.1,49.9,21.5,13.5,16362,6437,"49,691"
"Marion County, Arkansas",0.5656,0.3712,0.5667,597.009,16140,16826,8428,8398,52.8,98.2,0.5,4.2,0.7,0.2,2.3,2.3,13.8,36.6,34.5,15.1,16668,7480,"42,892"
"Miller County, Arkansas",0.5294,0.4567,0.4643,625.578,40443,42600,20850,21750,39.9,71,27.5,3,0.8,0.1,3.4,3.7,13.1,36.2,33.7,16.9,41220,17068,"45,450"
"Mississippi County, Arkansas",0.4131,0.5647,0.2218,900.574,51979,40685,20064,20621,37.3,60.9,37.1,1.8,0.8,0.1,4,4.4,17.4,41.3,27.1,14.2,39908,16036,"41,007"
"Monroe County, Arkansas",0.4036,0.58,0.1413,607.122,10254,6799,3246,3553,46.9,55.7,42.3,2.5,0.5,0.2,2.9,2.7,21.2,41.3,24,13.5,6728,3040,"37,113"
"Montgomery County, Arkansas",0.5691,0.3846,0.5977,779.88,9245,8484,4200,4284,50.6,95.2,0.5,4.8,0.9,0.2,4.7,4.9,16,32.9,35.7,15.3,8365,3651,"41,359"
"Nevada County, Arkansas",0.4805,0.4995,0.3148,617.837,9955,8310,4099,4211,44.2,67.1,31.2,2.3,0.8,0.1,3.5,4.3,9,51.3,28.5,11.1,8122,3427,"40,283"
"Newton County, Arkansas",0.644,0.3069,0.6211,820.896,8608,7225,3634,3591,51.6,97.8,0.5,4.7,0.8,0.4,1.8,1.1,14.8,37.9,30.9,16.4,7153,3169,"41,823"
"Ouachita County, Arkansas",0.4559,0.5256,0.1349,732.783,28790,22650,10839,11811,44.5,58.3,41.6,2.2,0.9,0.1,2.1,2.3,12.4,40.5,33.7,13.3,22270,9944,"47,169"
"Perry County, Arkansas",0.5276,0.4113,0.5332,551.402,10209,10019,4995,5024,45.2,97.1,1.9,3.8,0.5,0,2.7,2.9,8.7,43.4,30.4,17.5,9929,4085,"51,204"
